Text,Author,Likes,Date
Jennie your dancing in the idol is amazing ❤🎉😊,Addy Gregory,0,2023-07-20T12:46:48Z
"Jennie we love you a lot, whatever you will do in future we will support you still my last breath because your are my greatest inspiration of all time ,you are the best, I want you to shine brightly in the black sky ❤ I can't explain my feelings towards you in words because you are too precious to me love you a lot💜💙",Baba Todkari,1,2023-07-20T07:27:11Z
May you shine bright like a star always,hello,1,2023-07-20T07:07:16Z
Iconic duo Jennie and Calvin Klein,hello,1,2023-07-20T07:07:05Z
I need to call heaven  because they just lost an angel.,hello,1,2023-07-20T07:06:55Z
"Jennie my love,  you have a magnetic personality  that captivates everyone's attention",hello,1,2023-07-20T07:03:10Z
You have a beautiful smile and  sparking eyes.,hello,1,2023-07-20T07:02:03Z
Jennie you are an incredibly beautiful hardworking girl.  So proud of you.  Keep smiling,hello,1,2023-07-20T07:00:43Z
I Love that you love yourself. It id very important to love yourself.,hello,0,2023-07-20T06:59:59Z
Dear you always look perfect in every dress. I love your collections,hello,1,2023-07-20T06:58:42Z
Nothing is better than  a beautiful heart eith a true soul,hello,1,2023-07-20T06:58:02Z
Good morning my heart,hello,1,2023-07-20T06:57:12Z
I love you jennie❤,Alexandre Bouys,0,2023-07-20T02:47:07Z
Ok pero jenniee💗,mariette,0,2023-07-19T23:34:13Z
😳✨,Ulises Palacios,0,2023-07-19T17:51:08Z
What?,hello,0,2023-07-20T06:56:47Z
Guys come.solo,GLOBALACEJENNIE,1,2023-07-19T17:21:52Z
My love Jennie,Sagar The Ocean,0,2023-07-19T15:28:28Z
Your vlogs are like a breath of fresh air.,Sagar The Ocean,1,2023-07-19T15:28:10Z
Your magnificence is irresistible Jennie,Sagar The Ocean,1,2023-07-19T15:27:55Z
Dear you exude confidence and allure.,Sagar The Ocean,1,2023-07-19T15:27:29Z
You are destined for greatness. Mesmerizing Treasury house of beauty.,Sagar The Ocean,1,2023-07-19T15:27:12Z
Jennie you have a heart that’s full of compassion and empathy,Sagar The Ocean,4,2023-07-19T15:26:47Z
Incredible characteristic excellence with parts of huge charm and astounding gorgeousness.,Sagar The Ocean,1,2023-07-19T15:26:22Z
You’re like the sun’s ray my girl,Sagar The Ocean,1,2023-07-19T15:26:12Z
"God made the world in six days, rested on the seventh, but it took him thousands of a long time to create somebody as flawless as you.",Sagar The Ocean,1,2023-07-19T15:25:51Z
Kolaborasi jennie dengan calvin klein adlaah luar biasa,Hope Not,1,2023-07-19T14:36:45Z
Omg JENNİE ❤,킴 러세♡⁠,0,2023-07-19T12:54:08Z
Love you Jennie ❤,Seeta Naik,1,2023-07-19T12:48:31Z
Woooooow Jennie 🥺🥺🥺🥺you are soo beautiful l love youu❤❤❤❤❤❤❤❤❤❤the best jennie ❤❤,Diellza kuqi,0,2023-07-19T10:35:53Z
@Sagar The Ocean how old are you?,Diellza kuqi,0,2023-07-19T16:34:00Z
We love you Jennie,Sagar The Ocean,0,2023-07-19T15:24:16Z
Jennie l love you,Vibodha,0,2023-07-19T10:09:34Z
